yearterm,subject,crse,sec,onlinefcq,bdcontinedcrse,instructor_last,instructor_first,formsrequested,formsreturned,percentage_passed,courseoverall,courseoverall_sd,instructoroverall,instructoroverall_sd,hoursperwkinclclass,priorinterest,instreffective,availability,challenge,howmuchlearned,instrrespect,course_title,courseoverall_old,courseoverall_sd_old,instroverall_old,instroverall_sd_old,r_fair,r_access,workload,r_divstu,r_diviss,r_presnt,r_explan,r_assign,r_motiv,r_learn,r_complx,campus,college,asdiv,level,fcqdept,instr_group,i_num
20147,MATH,8304,001,OL,,SARRIA,ALEJANDRO,7,6,1,5.5,0.547607421875,5.5,0.547607421875,7-9,5.666015625,5.5,5.8330078125,5,5,6,TOPICS IN ANALYSIS 1,,,,,,,,,,,,,,,,BD,AS,NS,GR,MATH,OTH,1
20147,MATH,8330,001,,,JESUDASON,JUDITH,11,10,1,5.3994140625,0.516357421875,5.599609375,0.516357421875,7-9,4,5,5.7998046875,5.2998046875,5.2998046875,6,FUNCTIONAL ANALYSIS 1,,,,,,,,,,,,,,,,BD,AS,NS,GR,MATH,TTT,1
20147,MBAC,6000,001,,,PAYNE,DAVID,35,35,1,4.828125,0.9229736328125,4.9423828125,1.1865234375,7-9,4.3994140625,5.228515625,5.1142578125,4.1142578125,4.599609375,5.65625,SOCIALLY RESP ENTERPRISE,,,,,,,,,,,,,,,,BD,BU,,GR,BU,OTH,1
20147,MBAC,6000,002,,,PAYNE,DAVID,39,38,1,4.6572265625,0.8145751953125,5.1044921875,0.86328125,7-9,3.841796875,5.025390625,5,3.89453125,4.2890625,5.755859375,SOCIALLY RESP ENTERPRISE,,,,,,,,,,,,,,,,BD,BU,,GR,BU,OTH,1
20147,MBAC,6011,001,,,KLINE,BRUCE,39,39,1,4.3837890625,0.98974609375,4.486328125,1.189208984375,10-12,4,4.3330078125,5.076171875,5.025390625,4.5126953125,5.69140625,MANAGERIAL ECONOMICS 1,,,,,,,,,,,,,,,,BD,BU,,GR,BU,OTH,1
20147,MBAC,6011,002,,,KLINE,BRUCE,35,35,1,3.7998046875,1.051513671875,3.85693359375,1.004150390625,10-12,3.9140625,3.828125,5,4.7998046875,3.9140625,5.685546875,MANAGERIAL ECONOMICS 1,,,,,,,,,,,,,,,,BD,BU,,GR,BU,OTH,1
20147,MBAC,6020,001,,,ERTIMUR,YONCA,39,39,1,5.205078125,0.893798828125,5.87109375,0.4090576171875,10-12,3,5.5634765625,5.5126953125,5.1279296875,5.205078125,5.9228515625,FINANCIAL ACCOUNTING,,,,,,,,,,,,,,,,BD,BU,,GR,BU,TTT,1
20147,MBAC,6020,002,,,ERTIMUR,YONCA,35,35,1,5.3994140625,0.7745361328125,5.828125,0.38238525390625,13-15,2.97119140625,5.5419921875,5.5712890625,5.1708984375,5.3427734375,5.9423828125,FINANCIAL ACCOUNTING,,,,,,,,,,,,,,,,BD,BU,,GR,BU,TTT,1
20147,MBAC,6031,001,,,SEWARD,LORI,41,35,1,4.228515625,1.113525390625,4.36328125,1.41015625,7-9,3.05712890625,3.97119140625,4.2568359375,4.599609375,4.3427734375,5.7138671875,QUANTITATIVE METHODS,,,,,,,,,,,,,,,,BD,BU,,GR,BU,OTH,1
20147,MBAC,6031,002,,,SEWARD,LORI,35,33,1,4.84765625,1.064208984375,5.1513671875,1.034423828125,7-9,3.69677734375,4.60546875,5.0908203125,5,4.8173828125,5.7734375,QUANTITATIVE METHODS,,,,,,,,,,,,,,,,BD,BU,,GR,BU,OTH,1
